GLCode	Description	
638140	MILK                               	
638141	FOOD-DRY STORES                    	
638142	"FOOD-MEAT, FISH, POULTRIES         "	
638143	FOOD                               	
638145	ICE CREAM                          	
638146	BABY FORMULA                       	
638147	UCSDMC INPATIENT                   	
638148	CMH INPATIENT                      	
638149	EMPLOYEE CAFETERIA                 	
638150	CONTRACT INCENTIVE                 	
638151	SPECIAL FUNCTIONS ARA-CATERING     	
638152	FREE MEALS                         	
638160	BAKERY PRODUCTS                    	
638170	STAPLES & OTHER                    	
638172	BEVERAGES-NON ALCHOLIC             	
638173	BEVERAGES-ALCOHOLIC                	
638174	BOOKSTORE MISCELLANEOUS GOODS      	
638175	PETTY CASH EXPENSE REIMBURSEMENT   	
638180	RECHARGES-OTHER MISC SUPPLIES      	
638181	DISPOSABLES & PAPER                	
638182	PHARMACEUTICAL WASTE&SPOILAGE      	
638183	HDS-REIMBURSE RESIDENT'S LOSSES    	
638184	REPAIR PARTS-PROJECT SPECIFIC      	
638185	REMOVAL/MOVING EXPENSE-PROJECT SPEC	
638190	CATERING SVCS-BUSINES/TECH EVENTS  	
638191	CATERING SVCS-PARTIES/SOCIAL EVENTS	
638192	EMPLOYEE MEALS                     	
638193	CATER RECHARGE-BUSINESS/TECH EVENTS	
638194	CATER RECHARGE-BUSINESS/TECH EVENT 	
638195	FAC CLUB RECHARGE-BUSINESS MEALS   	
638196	FAC CLUB RECHARGE-BUSINESS CATERING	
638197	FAC CLUB RECHARGE-SOCIAL CATERING  	
638198	CATER RECHARGE-OTHER               	
638199	SUPPLIES & SERVICES CREDITS        	
638200	PRICE VARIANCE                     	
638240	MC CAPITAL DURABLE SUPP $2500-4999 	
638299	FYE CLOSING ADJUSTMENT - GENACCT   	
638904	PREUSS DISTRICT BOOKS SUPPLIES REIM	
638991	CLINICAL TRIALS-REV OFFSET         	
638992	CLINICAL TRIALS-IDC PSEUDO         	
638993	CLINICAL TRIALS-IDC PSEUDO OFFSET  	
639000	EQUIPMENT $1500-4999               	
639071	INSTALL CONTRACT(CANCEL) $1500-4999	
639091	ACCESSORIES TO EQUIP $1500-4999    	
639220	SPECIAL COLL(EXC LIBRARY)$1500-4999	
639235	SOFTWARE <10 M CAMPUS $1500-4999   	
639600	FAB COMPONENTS& SUPPLIES $1500-4999	
639610	FAB COSTS - TAX $1500-4999         	
639611	FAB COSTS - NO TAX $1500-4999      	
639612	FAB COST-ENG FUSION RCHG $1500-4999	
639615	FAB-REMOTELY DEPLOYED $1500-4999   	
639625	REMOTELY DEPLOYED EQUIP $1500-4999 	
639800	EQUIPMENT TRANSFERS $1500-4999     	
639810	TELECOM EQUIP TRANS RCHG $1500-4999	
639900	COMPUTING EQUIPMENT $1500-4999     	
639901	COMP-SUPERCOMPUTER SYS $1500-4999  	
639902	COMP-DESKTOP SYSTEMS $1500-4999    	
639903	COMP-SERVERS $1500-4999            	
639904	COMP-VISUALIZATION  $1500-4999     	
639905	COMP-DATA STORAGE $1500-4999       	
639906	COMP-NETWORKING $1500-4999         	
639950	FURNITURE $1500-4999               	
639981	GEN ACCTG Y/E ENTRY ONLY CAP EXP 63	
640000	BUDGET-EQUIPMENT                   	
649000	INVENTORIAL EQUIPMENT              	
649002	HOSPITAL EQUIP-NEW                 	
649004	HOSPITAL EQUIP-REPLACEMENT         	
649035	EQUIPMENT-IMPROVED                 	
649045	EQUIPMENT-REPLACEMENT              	
649060	PURCH OPTION EXER-CANC LEASE       	
649065	NON-CANCELLABLE LEASES-OTHER       	
649070	CAPITAL LEASE NON-CANCELLABLE      	
649071	INSTALLMENT CONTRACT-CANCELLABLE   	
649091	ACCESSORIES TO INV EQUIPMENT       	
649200	LIBRARY USE ONLY-BOOKS/MATL TO CAP 	
649201	EXPRESS CARD-BOOKS (LIBRARY ONLY)  	
649202	LIBRARY - NON-CONTINUATIONS        	
649203	LIBRARY - DIGITAL ONETIME          	
649206	LIBRARY - STANDING ORDERS          	
649207	LIBRARY - SUBSCRIPTIONS            	
649208	LIBRARY - CDL (CALIF DIGITAL LIB)  	
649209	LIBRARY - DIGITAL CONTINUATIONS    	
649210	LIBRARY RARE BOOKS AND COLLECTIONS 	
649211	LIBRARY - TOOLS                    	
649213	HOSP CAPITALIZED OFFICE FURNITURE  	
649214	HOSPITAL NON-INVENTORY CAPITALIZED 	
649220	SPECIAL COLLECT(EXC LIB) TO BE CAP 	
649230	MED CTR CAP SOFTWARE < 10 MILLION  	
649235	SOFTWARE PROJ CAPITAL <$10MCAMPUS  	
649240	SOFTWARE PROJ CAPITAL >$10M CAMPUS 	
649245	"MED CTR CAP SOFTWARE >$10 ,MILLION "	
649300	TRADE-IN OLD EQUIPMENT             	
649301	NET BOOK VALUE-EQUIPMENT SOLD      	
649302	GAIN/LOSS-EQUIPMENT SOLD           	
649303	NET PROCEEDS-EQUIPMENT SOLD        	
649400	RENTAL ALLOWANCE                   	
649501	DIFF BETW FULL VALUE & COST OF SURP	
649600	FABRICATION COMPONENTS & SUPPL     	
649610	FABR COST EXCLUDED FROM O'HEAD-TAX 	
649611	FABR COST EXCLUDED FROM O'HEAD-NOTX	
649612	FABR COST-ENG FUSION FAC RECHARGE  	
649613	FABR COST-IOD H-LAB RECHARGE       	
649615	FAB-REMOTELY DEPLOYED EQUIPMENT    	
649620	PLANT FUNDS-NON INVENTORY EXPENSE  	
649625	REMOTELY DEPLOYED EQUIPMENT        	
649630	EQUIPMENT ACQUIRED FOR OTHERS      	
649700	BUILDINGS&STRUCTURES TO BE CAPTLZD 	
649701	EXP FOR FACIL TO BE CAP-MOD STRUCTR	
649740	GENERAL IMPROV TO BE CAP           	
649750	INFRASTRUCTURE ASSETS TO BE CAP    	
649760	INTANGIBLE ASSETS TO BE CAPITALIZED	
649800	TRANSFERS-INVENTORIAL EQUIPMENT    	
649810	TELECOM TRANS INVENTORY EQUIP RCHG 	
649900	EQUIPMENT PURCHASES-COMPUTING EQUIP	
649901	EQUIP PURCH-COMPUTER-SUPERCOMP SYST	
649902	EQUIP PURCH-COMPUTER-DESKTOP SYSTMS	
649903	EQUIP PURCH-COMPUTER-SERVERS       	
649904	EQUIP PURCH-COMPUTER-VISUALIZATION 	
649905	EQUIP PURCH-COMPUTER-DATA STORAGE  	
649906	EQUIP PURCH-COMPUTER-NETWORKING    	
649930	MANAGED CARE-CAPITALIZED SOFTWARE  	
649950	INVENTORIAL FURNITURE              	
649960	PURCH OPT EXERCISE-CANCEL LEAS-COMP	
649965	NON-CANCELLABLE LEASES-COMP EQUIP  	
649970	CAPITAL LEASES-NON CANCELLABLE-COMP	
649981	GEN ACCTG Y/E CR ENTRY ONLY-CAP EXP	
650000	BUDGET - TRAVEL                    	
652000	TRAVEL-IN-STATE                    	
652001	CLIN TRIAL MONITOR TRAVEL-IN STATE 	
652010	TRAVEL IN STATE-CONFERENCES        	
652011	TRAVEL IN STATE-RECRUITMENT        	
652012	INTERCOLLEGIATE ATH -TEAM TRAVEL   	
652013	INTERCOLLEGIATE ATH -PROF TRAVEL   	
652014	INTERCOLLEGIATE ATH-RECRUITING TRAV	
652300	CENTRAL GARAGE RECHARGE            	
652301	GARAGE RECHARGE-FED USER REBATE    	
652305	SHUTTLE SERVICE RECHARGE           	
652310	BUS CHARTER SERVICES               	
652700	REMOVAL & MOVING EXPENSE           	
652900	TRAVEL-U.S.-OUT OF STATE           	
652901	FOREIGN TRAVEL - CANADA/MEXICO     	
652902	FOREIGN TRAVEL                     	
652903	FOREIGN TRAVEL-NON-UC EMPLOYEES    	
652905	CLIN TRIAL MONITR TRAV-US-OUT OF ST	
652906	CLIN TRIAL MONITR TRAV-FOREIGN     	
652910	TRAVEL-U.S.-OUT OF STATE-CONFERENCE	
652911	TRAVEL-U.S.-OUT OF STATE-RECRUITMEN	
652988	TRAVEL-U.S.-OUT OF STATE-HOSP      	
660000	BUDGET - BENEFITS                  	
668200	SPECIAL REGENT CONTR-UCRS-3%       	
668220	PERS-VERIP                         	
668231	OTH POSTEMPL BENEFITS PROG         	
668231	OTH EMPLR UCR HEALTH BEN CONTRIB-UC	
668250	SPECIAL REGENT CONTR-UCRS          	
668260	FLEXIBLE MANAGEMENT BENEFITS       	
668300	OASDI REGENTS CONTRIBUTION         	
668310	MEDICARE DEDUCTION                 	
668400	STRS-REGENTS CONTRIBUTION          	
668500	STATE WORKERS COMP INS             	
668501	WORKERS COMP INS-PRIOR YRS ADJ     	
668515	CAMPUS BENEFIT COSTS               	
668520	UNEMPLOYMENT INS PREM              	
668530	EMPLOYEE SUPPORT PROGRAM           	
668540	CORE MEDICAL                       	
668560	CORE LIFE                          	
668570	GRADUATE STUDENT HEALTH INSURANCE  	
668590	RA/TA PARTIAL FEE REMISSION        	
668600	UCRS REGENTS CONTRIBUTION          	
668610	PHASED RETIREMENT                  	
668620	HEALTH SCI COMP RESERVE CONTRIBUTN 	
668630	415(M)RESTORATION PLAN-REGENTS CTRB	
668650	FAC SUM SALARY                     	
668660	SENIOR MANAGEMENT SUPPLEMENT       	
668700	PERS REGENTS CONTRIBUTION          	
668710	DENTAL INSURANCE-PSBP              	
668720	HEALTH INSURANCE-PSBP              	
668730	VISION INSURANCE-PSBP              	
668740	DISABILITY INSURANCE-PSBP          	
668750	LIFE INSURANCE-PSBP                	
668760	BROKER FEES-PSBP                   	
668770	TERM BENEFITS/VOLUNTARY-BENEFITS   	
668775	TERM BENEFITS/INVOLUNTARY-BENEFITS 	
668780	COBRA STIMULUS SUBSIDY             	
668800	SHORT TERM DISABILITY CONTB        	
668830	VISION CONTRIBUTION                	
668840	VISION ALTERNATIVE                 	
668870	ACCR BENE-COMPENSATED ABSENCES-UCRP	
668880	ACCR BENE-COMPENSATED ABSENCE-OTHER	
668890	GEN ACCTG Y/E CR ENTRY ONLY-BENFITS	
668900	REGENTS HEALTH INS CONTR           	
668910	EMPLOYEE BENEFIT COST TRANSFER     	
668930	PROVISION FOR VACATION ACCRUAL     	
668931	GENERAL LIABILITY                  	
668932	PREUSS-DISTRICT RETIREMENT REIMB   	
668933	PREUSS-DISTRICT OASDI REIMB        	
668934	PREUSS-DISTRICT INS REIMB          	
668935	PREUSS-DISTRICT UNEMPLOYENTINSREIMB	
668936	PREUSS-DISTRICT WORKER/COMP INSREIM	
668939	PREUSS DISTRICT STRS               	
668940	BENEFIT ACCRUALS                   	
668945	IAP-ASSESSMENT                     	
668950	REGENTS DENTAL PLAN CONTR          	
668955	IAP-BENEFITS OFFSET                	
668960	DENTAL ALTERNATIVE                 	
668961	RETRO FBCO-REFUNDED TO EMPLOYEE    	
668962	RETRO FBCO-CREDITED TO UCRS PLAN 7 	
668970	TUITION/FEE REMISSION              	
668980	SPECIAL LIFE INS CONTB             	
668990	ANNUITANT HEALTH INS CONTRIB       	
668991	HHMI ANNUITANT HEALTH INS CONTR    	
668995	BENEFITS ADMIN ASSMNT (EFF 7/1/05) 	
680000	BUDGET - UNALLOCATED               	
690000	BUDGET - RECHARGES                 	
693900	RECHARGE INCOME                    	
693901	RECHARGE-OTHER FUNDS-LABOR         	
693902	RECHARGE-OTHER FUNDS-SUPPLIES      	
693903	RECHARGE-ASO NON-PROGRAMMING       	
693905	RECHARGE-OTHER FDS-EMP BENEFITS    	
693906	RECHARGE-OTHER FDS-PURCH SERV      	
693907	RECHARGE-OTHER FDS-OTHER EXP       	
693908	RECHARGE-ADMINISTRATIVE SERVICES   	
693909	DEPARTMENTAL RECHARGE RATE SUBSIDY 	
693930	APS SUBSYS ONLY INVNTRY ISSU FASTEN	
693935	RECHARGE-PPS INTERNAL              	
693950	RECHARGE-HSG/FD SERV PERQUISITE    	
693951	RCHR-PRICE CTR CATERING-OFF PREMISE	
693991	RECHARGES TO HOSP DEPTS-LABOR      	
693992	RECHARGES TO HOSP DEPTS - S&E      	
693995	RECHARGE TO HOSP DEPTS-EMP BENEFITS	
693996	RECHGS TO HOSP DEPTS-PURCH SERV    	
693997	RECHGS TO HOSP DEPTS-OTHER EXP     	
693999	RECHARGE-NON-CAPITAL OUTLAY A & E	
