Business	Category	SubCategory	AKA	Contact	Address	City	ST	ZIP	Phone	FAX	License	Ethnicity	Email
PITTMAN &  ASSOCIATES	FINANCIAL ADVISORS                 			Donna R. Pittman	"22 Battery Street, Suite 413"	San Francisco                 	CA	94111	(415) 394-7900	(415) 394-7747	0	BLK	donnarp@pacbell.net
"WESTERRA INVESTMENTS, LLC"	FINANCIAL ADVISORS                 			Leah  Segawa	1563 Salano Ave. #188	Berkeley	CA	94707	(510) 528-7800	(510) 217-3819	0	A/P	lsegawa@yahoo.com
INTERNATIONAL FIRE INC	"FIRE EXTINGUISHERS, WHOLESALE      "			Akiko  Giometti	765 Pennsylvania Avenue	San Francisco	CA	94124	(415) 643-1767	(415) 643-1776	EE 19940	A/P	akiko@internationalfireinc.com
"AL NORMAN MECHANICAL, INC."	FIRE PROTECTION (C-16)             		AL NORMAN PLUMBING	Jackie  Norman	5146 Third Street             	San Francisco                 	CA	94124	(415) 828-6990	(415) 550-1136	489216	BLK	alnormanmech@yahoo.com
"MAP FIRE PROTECTION, INC."	FIRE PROTECTION (C-16)             			Philipp  Xu	2378-27th Avenue	San Francisco	CA	94116	(415) 661-7766	(415) 731-1128	801015	A/P	mapfireprotection@yahoo.com
"MAP PLUMBING, INC."	FIRE PROTECTION (C-16)             			Phillip  Xu	2378-27th Avenue	San Franicsco	CA	94108	(415) 661-7766	(415) 731-1128	770531	A/P	mapplumbing@sbcglobal.net
TONY NG PLUMBING COMPANY	FIRE PROTECTION (C-16)             			Tony  Ng	1332 Hyde Street	San Francisco	CA	94109	(415) 474-9540	(415) 929-5290	329705	A/P	tonyngplumbing@yahoo.com
CAMESE TRANSPORTATION	FLATS & VANS                       			Ronald C. Camese	1485 Bayshore Blvd. PMB 143	San Francisco	CA	94124	(415) 468-2817	(415) 468-2901	5016	BLK	camesetrans@att.net
CAMKAL INDUSTRIAL TRANSPORT LLC	FLATS & VANS                       			Aleta M. Bryant	"1485 Bayshore Blvd, Box 158"	San Francisco	CA	94124	(415) 468-3885	(415) 468-3870	CA 324225	BLK	abryant@camkal.net
"MCD TRUCKING, LLC"	FLATS & VANS                       			Michael C. Dennis	2030 Burrows Street	San Francisco	CA	94134	(415) 859-0528		MC559609	BLK	smithdews@aol.com
A F A CONSTRUCTION INC             	GENERAL BUILDING CONT (B)          		                                   	Ralph L. Hodge	2040 Peabody Road	Vacaville	CA	95687	(707) 974-2146	(707) 585-0443	632136	BLK	
A M ONE CORPORATION                	GENERAL BUILDING CONT (B)          		                                   	Alphonse J. Wu	638 Balboa Street             	San Francisco                 	CA	94118	(415) 221-7100	(415) 221-9122	743360	A/P	amone_corp@yahoo.com
A M ONE CORPORATION	GENERAL BUILDING CONT (B)          		                                   	Alphonse  Wu	638 Balboa Street             	San Francisco                 	CA	94118	(415) 221-7100	(415) 221-9122	743360	A/P	amone_corp@yahoo.com
ADRIYL CONSTRUCTION AND DEVELOPMENT CORP	GENERAL BUILDING CONT (B)          		DBA ADRIYL INTERIORS	Brad  Oldenbrook	550 Alabama Street	San Francisco	CA	94110	(415) 777-9595	(415) 777-9597	774238	A/P	brad@adriyl.com
AMERICAN VANTAGE COMPANY           	GENERAL BUILDING CONT (B)          		                                   	Najeeb  R. Chaudhry	1118 Capitol Avenue           	San Francisco                 	CA	94112	(415) 585-0839	(415) 759-8808	756129	A/P	
ANCO IRON & CONSTRUCTION	GENERAL BUILDING CONT (B)          			Hector  Colina	1320 Egbert St.	San Francisco	CA	94124	(415) 822-3931	(415) 822-3937	749293	LAT	anco6737@sbcglobal.net
"A-TEAM CONSTRUCTION, INC."	GENERAL BUILDING CONT (B)          			Jay  Lim	3044 Scott Blvd	Santa Clara	CA	95054	(408) 482-2565	(650) 210-9588	795631	A/P	jlim@ateam-const.com
"A-TEAM CONSTRUCTION, INC."	GENERAL BUILDING CONT (B)          			Jay  Lim	3044 Scott Blvd	Santa Clara	CA	95054	(408) 482-2565	(650) 210-9588	795631	A/P	jlim@ateam-const.com
BMB CONSTRUCTION PROPERTIES	GENERAL BUILDING CONT (B)          			Marie A. Roberts	945 Marina Village Parkway	Alameda	CA	94501-4634	(510) 835-4009	(510) 835-4018	897863	BLK	marie@bmbcp.com
"BONIFACIO CONSTRUCTION, A C        "	GENERAL BUILDING CONT (B)          		                                   	Aldrey Cano  Bonifacio	1495 Church Street            	San Francisco                 	CA	94131	(415) 550-1857	(415) 550-0602	B 585824       	FIL	
BOYETT CONSTRUCTION INC            	GENERAL BUILDING CONT (B)          		                                   	Vernon Hugo  Boyett	2404 Tripaldi Way	Hayward	CA	94545	(510) 264-9100	(510) 264-9105	557242	LAT	
CEPHAS CONSTRUCTION COMPANY        	GENERAL BUILDING CONT (B)          		                                   	John C. Harris	P. O. Box 24034	San Francisco                 	CA	94124	(415) 850-4037	(650) 878-1064	496384	BLK	cephas_1967@yahoo.com
"COOPER PUGEDA MANAGEMENT, INC."	GENERAL BUILDING CONT (B)          			Ismael G. Pugeda	65 McCoppin Street	San Francisco	CA	94103	(415) 543-6515	(415) 543-6570	838116	A/P	ismael@cpmservices.com
EARTH DEVELOPMENT	GENERAL BUILDING CONT (B)          			Danny  Shao	9627 Alcosta Blvd.	San Ramon	CA	94583	(925) 300-6116	(925) 829-9194	888689	A/P	danny.earth@hotmail.com
EMPIRE ENGINEERING & CONSTRUCTION INC.	GENERAL BUILDING CONT (B)          			Clifton J. Burch	1359 McAllister Street	San Francisco	CA	94115	(415) 440-1148	(415) 762-0170	854381	BLK	cburch@em-pireconstruction.com
G L CONSTRUCTION COMPANY	GENERAL BUILDING CONT (B)          			Gary  Lo	266 Girard Street	San Francisco	CA	94134	(415) 713-5400		755010	A/P	glconstructionco@aol.com
HERCULES BUILDERS	GENERAL BUILDING CONT (B)          			Willie H. McGary	1707 Yosemite Avenue	San Francisco	CA	94124	(415) 822-4800	(415) 822-1092	612983	BLK	herculesbuilders@comcast.net
"HOI'S CONSTRUCTION, INC."	GENERAL BUILDING CONT (B)          			Sui Hoi Leung	8 Desmond Street	San Francisco	CA	94134	(415) 333-7289	(415) 587-2018	745380	A/P	steven@hoisconstruction.com
"HUEY CONSTRUCTION MANAGEMENT CO., INC."	GENERAL BUILDING CONT (B)          		dba M H CONSTRUCTION MANAGEMENT CO.	Matthew  Huey	1630 17th Street	San Francisco                 	CA	94107	(415) 588-9778	(415) 558-9612	B 575228       	A/P	hueymhc@yahoo.com
IMR ROOFING CORPORATION            	GENERAL BUILDING CONT (B)          		                                   	Ismael  Avila	24967 Huntwood Avenue	Hayward	CA	94544	(510) 293-0137		783387	LAT	
J C METAL SPECIALISTS INC          	GENERAL BUILDING CONT (B)          		                                   	Jeffrey  Chan	2708 Ingalls Street           	San Francisco                 	CA	94124	(415) 822-3878	(415) 822-6132	546302	A/P	ivy@jcmetals.com
"J H INTEGRATED SYSTEMS, INC."	GENERAL BUILDING CONT (B)          		HANSON ELECTRICAL                  	Jonathan  Lee	125 Quint Street              	San Francisco                 	CA	94124	(415) 642-4905	(415) 401-9786	759262	A/P	jlathjoffice@yahoo.com
"J Y ELECTRICAL CONSTRUCTION CO, INC"	GENERAL BUILDING CONT (B)          			Jimmy  Yu	361 Raymond Avenue.	San Francisco	CA	94134	(415) 559-1567	(415) 467-7233	777162	A/P	jimmy@jygroups.com
"KWAN WO IRONWORKS, INC."	GENERAL BUILDING CONT (B)          		" KIN WO CONSTRUCTION, INC."	Florence Yuen  Kong	1383 Armstrong Avenue         	San Francisco                 	CA	94124	(415) 822-9628	(415) 822-9068	643621	A/P	florkong@yahoo.com
L C GENERAL ENGINEERING & CONST	GENERAL BUILDING CONT (B)          		L C ELECTRIC	Leo K. Choy	1596 Hudson Avenue            	San Francisco                 	CA	94124-2176	(415) 643-2888	(415) 643-2889	742273	A/P	leo@lcgeneral.com
MAJESTIC CONSTRUCTION	GENERAL BUILDING CONT (B)          			Kevin G. Lau	"850 South Van Ness Avenue, Ste 22"	San Francisco	CA	94110	(415) 648-9826	(415) 648-9835	629031	A/P	kevinglau@gmail.com
MEN OF ALL TRADES	GENERAL BUILDING CONT (B)          			John C. Maddox	8901 Thermal Street	Oakland	CA	94605	(510) 569-2285	(510) 569-4383	745297	BLK	moatconstruction@hotmail.com
MLS CONSTRUCTION	GENERAL BUILDING CONT (B)          		                                   	Kelly  Lai	368 - 31st Avenue             	San Francisco                 	CA	94121	(415) 752-7521	(415) 752-7537	609022	A/P	klai128@yahoo.com
"MO/JAS CONSTRUCTION, INC."	GENERAL BUILDING CONT (B)          			Stephen  Seumaala	"101 Townsend Street, Suite 302"	San Francisco	CA	94107	(415) 409-2464	(415) 977-0401	931736	BLK	markwilliams@mojasconstruction.com
MYT CONSTRUCTION INC DBA DELTA ELECTRIC	GENERAL BUILDING CONT (B)          			Chock C. Tang	725 E. 11th Street	Oakland	CA	94606	(510) 812-4918	(510) 594-1227	872328	A/P	lucychiang11@yahoo.com
"NCR CONSTRUCTION, INC"	GENERAL BUILDING CONT (B)          		                                   	Bernie  Nestal	3326 San Leandro Street	Oakland	CA	94601	(800) 440-4336	(866) 627-3294	465489	A/P	bernie@ncrconstructioninc.com
OKEEFFE MECHANICAL CO INC	GENERAL BUILDING CONT (B)          		                                   	Moon  Jee	"2715 Ingalls Street, Suite A  "	San Francisco                 	CA	94124	(415) 822-2000	(415) 822-4770	687041	A/P	okeeffemech@sbcglobal.net
"OLIVER TRANSBAY CONSTRUCTION, INC."	GENERAL BUILDING CONT (B)          			Frank L. Oliver	"1485 Bayshore Blvd., #324-B77"	San Francisco	CA	94124	(415) 330-0904	(415) 330-0934	733591	BLK	flotbc@msn.com
"OTB BUILDERS, INC."	GENERAL BUILDING CONT (B)          			Arnold B. Balague	"536 Stone Road, Suite A"	Benicia	CA	94510	(707) 545-1110	(707) 638-0322	895507	FIL	arnie@otbbuilders.com
P & A CONSTRUCTION COMPANY	GENERAL BUILDING CONT (B)          			Charlie Yu-Hwa  Pa	493 Vienna Street	San Francisco	CA	94112	(415) 334-7511	(415) 334-5701	B 674253	A/P	pa_construction@hotmail.com
"PARS POWER, INC."	GENERAL BUILDING CONT (B)          		CALWEST CONSTRUCTION & CALWEST CONCRETE	Rajen J. Patel	"1255 Post Street, Suite 532"	San Francisco	CA	94109	(415) 420-8537	(415) 236-6180	885711	EIN	Calwestcon@gmail.com
PRESIDIO BUILDERS	GENERAL BUILDING CONT (B)          			Randy  Swayne	201 Sagamore Street	San Francisco	CA	94112	(415) 935-9546	(415) 859-9326	936143		randyswayne@live.com
R & W CONCRETE CONTRACTORS INC.    	GENERAL BUILDING CONT (B)          		                                   	Brian Joseph  Rodrigues	"1415 Indiana Street, Suite 303"	San Francisco                 	CA	94107	(415) 401-6162	(415) 401-6161	306552	LAT	brianr@pacbell.net
RISER CONSTRUCTION CO.             	GENERAL BUILDING CONT (B)          		                                   	Lea  McMillan	PO Box 269	Hayward	CA	94543-0269	(510) 733-3284	(510) 733-3284	730570	BLK	gguske@riserinc.net
RUBECON GENERAL CONTRACTING INC    	GENERAL BUILDING CONT (B)          		                                   	Ruben A. Santana	"3450 Third Street, Bldg. 1B   "	San Francisco                 	CA	94124	(415) 206-7740	(415) 206-1750	734031	LAT	office@rubecon.com
SAARMAN CONSTRUCTION LIMITED       	GENERAL BUILDING CONT (B)          		ESPAVI-MC ALLISTER ASSOCIATES      	Jeffrey Michael  Saarman	683 McAllister Street         	San Francisco                 	CA	94102	(415) 749-2700	(415) 749-2709	B 450928       	LAT	
"SPACE SAVER DESIGNS, INC."	GENERAL BUILDING CONT (B)          			Linda  Hunter	"88 Perry Street, #203"	San Francisco	CA	94107	(415) 357-1236	(415) 374-6707	839872	BLK	sharper_look@yahoo.com
"TOM'S METAL SPECIALIST, INC."	GENERAL BUILDING CONT (B)          		TOM'S WELDING & FABRICATION	Carmen  Chau	1416 Wallace Avenue	San Francisco	CA	94124	(415) 822-7971	(415) 822-8119	728525	A/P	tcjob2006@yahoo.com
TSM GENERAL BUILDING CONTRACTOR	GENERAL BUILDING CONT (B)          		THOMAS STOCKDALE MILLER            	Thomas S. Miller	"5191 Third Street, #3         "	San Francisco                 	CA	94124-2378	(415) 573-6688	(415) 822-1558	407149	BLK	luna_miller@yahoo.com
TURNER GROUP CONSTRUCTION	GENERAL BUILDING CONT (B)          			Len  Turner	"450 Sutter Street, 3rd Floor"	San Francisco	CA	94108	(415) 705-8911	(415) 705-7949	862978	BLK	lenturner1@earthlink.net
YERBA BUENA ENGINEERING & CONSTRUCTION INC	GENERAL BUILDING CONT (B)          		                                   	Miguel A. Galarza	1340 Egbert Avenue	San Francisco                 	CA	94124	(415) 822-4400	(415) 467-9441	659757	LAT	mgalarza@yerba-buena.net
A F A CONSTRUCTION INC             	GENERAL ENGINEERING CONT (A)       		                                   	Ralph L. Hodge	2040 Peabody Road	Vacaville	CA	95687	(707) 974-2146	(707) 585-0443	632136	BLK	
AMERICAN CONSTRUCTION AND SUPPLY   	GENERAL ENGINEERING CONT (A)       		                                   	Rodolfo Enrique  Arana	PO Box 410	Corta Madera	CA	94976	(415) 927-2024	(415) 927-1723	A 310599       	LAT	
BAY AREA SYSTEMS AND SOLUTIONS INC 	GENERAL ENGINEERING CONT (A)       		BASS ELECTRIC                      	Jeffrey  J. Yee	856 Folsom St.                	San Francisco                 	CA	94107	(415) 295-1600	(415) 856-0381	765671	A/P	jtrevino@basselectric.net
COAST GEO -CONSTRUCTORS INC	GENERAL ENGINEERING CONT (A)       			Min  Wang	1215 Michigan Street	San Francisco                 	CA	94107	(415) 391-6465	(415) 391-5655	 A 440566      	A/P	terrycowhey@netscape.com
EMPIRE ENGINEERING & CONSTRUCTION INC.	GENERAL ENGINEERING CONT (A)       			Clifton J. Burch	1359 McAllister Street	San Francisco	CA	94115	(415) 440-1148	(415) 762-0170	854381	BLK	cburch@em-pireconstruction.com
ESQUIVEL GRADING & PAVING INC      	GENERAL ENGINEERING CONT (A)       		                                   	Ralph Gerald  Esquivel	918 Ingerson Avenue	San Francisco                 	CA	94124	(415) 468-5700	(415) 468-8108	463185	LAT	audrey@esquivel-gp.com
"HUEY CONSTRUCTION MANAGEMENT CO., INC."	GENERAL ENGINEERING CONT (A)       		dba M H CONSTRUCTION MANAGEMENT CO.	Matthew  Huey	1630 17th Street	San Francisco                 	CA	94107	(415) 588-9778	(415) 558-9612	B 575228       	A/P	hueymhc@yahoo.com
"J FLORES CONSTRUCTION COMPANY, INC."	GENERAL ENGINEERING CONT (A)       		                                   	Jesus  Flores	4229 Mission Street           	San Francisco                 	CA	94112-1519	(415) 337-2934	(415) 337-2937	705393	LAT	yannie_wong0825@yahoo.com
L C GENERAL ENGINEERING & CONST	GENERAL ENGINEERING CONT (A)       		L C ELECTRIC	Leo K. Choy	1596 Hudson Avenue            	San Francisco                 	CA	94124-2176	(415) 643-2888	(415) 643-2889	742273	A/P	leo@lcgeneral.com
"M HERNANDEZ CONSTRUCTION, INC"	GENERAL ENGINEERING CONT (A)       			Mariano D. Hernandez	"2601 Mission Street, Suite 215"	San Francisco	CA	94110	(415) 824-4731	(415) 824-4696	756488	LAT	mhernandez@covad.net
MLS CONSTRUCTION	GENERAL ENGINEERING CONT (A)       		                                   	Kelly  Lai	368 - 31st Avenue             	San Francisco                 	CA	94121	(415) 752-7521	(415) 752-7537	609022	A/P	klai128@yahoo.com
"N T K CONSTRUCTION, INC."	GENERAL ENGINEERING CONT (A)       			Sammy  Kwok	"501 Cesar Chavez St., Ste. 123"	San Francisco	CA	94124	(415) 643-1900	(415) 643-1300	851273	A/P	tqt64@aol.com
"OLIVER TRANSBAY CONSTRUCTION, INC."	GENERAL ENGINEERING CONT (A)       			Frank L. Oliver	"1485 Bayshore Blvd., #324-B77"	San Francisco	CA	94124	(415) 330-0904	(415) 330-0934	733591	BLK	flotbc@msn.com
OVERAA/MILLER CONSTRUCTION         	GENERAL ENGINEERING CONT (A)       		                                   	Gerald  Overaa	200 Parr Blvd.                	Richmond                      	CA	94801	(510) 234-0926	(0  )    -    	A 489980       	BLK	
R & W CONCRETE CONTRACTORS INC.    	GENERAL ENGINEERING CONT (A)       		                                   	Brian Joseph  Rodrigues	"1415 Indiana Street, Suite 303"	San Francisco                 	CA	94107	(415) 401-6162	(415) 401-6161	306552	LAT	brianr@pacbell.net
RMT LANDSCAPE CONTRACTORS INC	GENERAL ENGINEERING CONT (A)       		                                   	Kari  Trask	7699 Edgewater Drive	Oakland	CA	94261	(510) 568-3208	(510) 568-3766	372869	LAT	rick@rmtlandscape.com
"TOM'S METAL SPECIALIST, INC."	GENERAL ENGINEERING CONT (A)       		TOM'S WELDING & FABRICATION	Carmen  Chau	1416 Wallace Avenue	San Francisco	CA	94124	(415) 822-7971	(415) 822-8119	728525	A/P	tcjob2006@yahoo.com
TONY NG PLUMBING COMPANY	GENERAL ENGINEERING CONT (A)       			Tony  Ng	1332 Hyde Street	San Francisco	CA	94109	(415) 474-9540	(415) 929-5290	329705	A/P	tonyngplumbing@yahoo.com
"U S ELECTRIC TECHNOLOGIES, INC."	GENERAL ENGINEERING CONT (A)       			Samuel  Lee	1061 Folsom Street	San Francisco	CA	94103	(415) 553-4037	(415) 553-4038	713221	A/P	uselectricsf@yahoo.com
VARGAS & ESQUIVEL CONSTRUCTION INC 	GENERAL ENGINEERING CONT (A)       		                                   	Yolanda Esquivel  Vargas	20 Dorman Avenue              	San Francisco                 	CA	94124	(415) 550-1176	(415) 550-1197	A 662403       	LAT	nvargas@vargasesquivel.com
YERBA BUENA ENGINEERING & CONSTRUCTION INC	GENERAL ENGINEERING CONT (A)       		                                   	Miguel A. Galarza	1340 Egbert Avenue	San Francisco                 	CA	94124	(415) 822-4400	(415) 467-9441	659757	LAT	mgalarza@yerba-buena.net
"ADOLPH'S GLASS COMPANY, INC."	GLAZING (C-17)                     		                                   	Adolph  Sykes	1947 East Avenue	Hayward	CA	94541	(510) 537-0755	(510) 537-0855	503742	BLK	adolphsglass@sbcglobal.net
GOLDEN GATE GLASS & MIRROR CO INC	GLAZING (C-17)                     		                                   	Alexander R. Meyer	2011 Folsom Street	San Francisco                 	CA	94110	(415) 552-0220	(415) 552-6135	228354	LAT	gggm-sf@sbcglobal.net
"CHIANG, ROBIN                      "	GRAPHIC ARTS AND RELATED DESIGN    	SERVICES                      	                                   	Robin  Chiang	381 Tehama Street             	San Francisco                 	CA	94103	(415) 995-9870	(415) 995-9876	C10152	A/P	rchiang@designbythebay.com
J & C CONSULTING SERVICES	GRAPHIC ARTS AND RELATED DESIGN    			Jaime  Jones	"101 Embarcadero, Studio 115"	San Francisco	CA	94105	(415) 445-0120	(415) 445-0120	0	BLK	kimojones@yahoo.com
KEILANI TOM DESIGN ASSOCIATES INC	GRAPHIC ARTS AND RELATED DESIGN    			Keilani  Tom	"456 Montgomery Street, Suite 300"	San Francisco	CA	94104	(415) 901-7232	(415) 777-5102	0	A/P	keilani@ktda.com
OLIV & ASSOCIATES                  	GRAPHIC ARTS AND RELATED DESIGN    		                                   	Waymon V. Olivier	P O Box 15577                 	San Francisco	CA	94115-0577	(415) 931-6643	(415) 346-1796	0	BLK	oliv@att.net
PRIORITY ARCHITECTURAL GRAPHICS INC	GRAPHIC ARTS AND RELATED DESIGN    		DBA PRIORITY GRAPHICS	Juliana Y. Choy	1596 Hudson Avenue	San Francisco                 	CA	94124	(415) 643-1144	(415) 643-1145	763170	A/P	juliana@prioritygraphics.com
THE MITCHELL GROUP COPY SERVICE	GRAPHIC ARTS AND RELATED DESIGN    			Jim  Mitchell	"501 Cesar Chavez, Ste. 116"	San Francisco                 	CA	94124	(415) 648-7894	(415) 648-7874	0	BLK	tj@tmg-inc.com
"HUEY CONSTRUCTION MANAGEMENT CO., INC."	HAZARDOUS SUBSTANCES REMOVAL (HAZ) 		dba M H CONSTRUCTION MANAGEMENT CO.	Matthew  Huey	1630 17th Street	San Francisco                 	CA	94107	(415) 588-9778	(415) 558-9612	B 575228       	A/P	hueymhc@yahoo.com
"N T K CONSTRUCTION, INC."	HAZARDOUS SUBSTANCES REMOVAL (HAZ) 			Sammy  Kwok	"501 Cesar Chavez St., Ste. 123"	San Francisco	CA	94124	(415) 643-1900	(415) 643-1300	851273	A/P	tqt64@aol.com
"OLIVER TRANSBAY CONSTRUCTION, INC."	HAZARDOUS SUBSTANCES REMOVAL (HAZ) 			Frank L. Oliver	"1485 Bayshore Blvd., #324-B77"	San Francisco	CA	94124	(415) 330-0904	(415) 330-0934	733591	BLK	flotbc@msn.com
YERBA BUENA ENGINEERING & CONSTRUCTION INC	HAZARDOUS SUBSTANCES REMOVAL (HAZ) 		                                   	Miguel A. Galarza	1340 Egbert Avenue	San Francisco                 	CA	94124	(415) 822-4400	(415) 467-9441	659757	LAT	mgalarza@yerba-buena.net
STARLITE ELECTRIC INC              	"HRDWRE, WINDOW LOCKS (D-16)        "		BA ALERT SYSTEM	William  Lee	1246 Carroll Avenue	San Francisco	CA	94124	(415) 648-8888	(415) 648-8895	716595	A/P	bill@starliteinc.com
"AL NORMAN MECHANICAL, INC."	HVAC HEATING & AIR CND (C-20)      		AL NORMAN PLUMBING	Jackie  Norman	5146 Third Street             	San Francisco                 	CA	94124	(415) 828-6990	(415) 550-1136	489216	BLK	alnormanmech@yahoo.com
DELCON HEATING & AIR CONDITIONING  	HVAC HEATING & AIR CND (C-20)      		                                   	David  Chavez	52 Wright Brothers Avenue	Livermore	CA	94551	(925) 456-8880	(925) 456-8302	493271	LAT	dave@delconhvac.com
LIVCO HEATING & SHEET METAL INC    	HVAC HEATING & AIR CND (C-20)      		COLAN HEATING & SHEET METAL INC    	Vincent Victor  Vigil	1475 Donner Avenue            	San Francisco                 	CA	94124	(415) 822-0660	(415) 822-8485	202632	LAT	ivigil@livco.net
OKEEFFE MECHANICAL CO INC	HVAC HEATING & AIR CND (C-20)      		                                   	Moon  Jee	"2715 Ingalls Street, Suite A  "	San Francisco                 	CA	94124	(415) 822-2000	(415) 822-4770	687041	A/P	okeeffemech@sbcglobal.net
YUMS MECHANICAL CO INC	HVAC HEATING & AIR CND (C-20)      		                                   	Park  Jung	1649 Jerrold Avenue           	San Francisco                 	CA	94124-2134	(415) 642-1818	(415) 642-1840	583839	A/P	parkjung@sbcglobal.net
"A+D, ARCHITECTURE + DESIGN"	INTERIOR DESIGN & FURNISHINGS      		"ARQUITECTURA & DISENO, INC."	Sandra I. Vivanco	566 Folsom Street	San Francisco                 	CA	94105	(415) 536-9323	(415) 536-9325	C27980         	LAT	sandra@a-plus-d.com
KAI-YEE WOO & ASSOCIATES           	INTERIOR DESIGN & FURNISHINGS      		                                   	Kai-Yee  Woo	"601 Van Ness Avenue, E3617"	San Francisco                 	CA	94102	(415) 202-9968	(415) 202-0968	0	A/P	design@kaiyeewoo.com
MOCK/WALLACE ARCHITECTS            	INTERIOR DESIGN & FURNISHINGS      		                                   	Lawrence Lun  Mock	1108 Bryant Street            	San Francisco                 	CA	94103-4305	(415) 626-6868	(415) 626-6982	C 7672         	A/P	mwadmin@mockwallace.com
SEKOU COOKE STUDIO	INTERIOR DESIGN & FURNISHINGS      			Sekou G. Cooke	"333 Bryant Street, Suite 220"	San Francisco	CA	94103	(415) 348-6260	(415) 541-8590	0	BLK	sekou@sekoucooke.com
AIM TO PLEASE JANITORIAL           	JANITORIAL & MISC SUPPLIES         	SERVICE ESTABLISH EQUI SUPPLY 	                                   	Chris  Washington	P.O. Box 24550	San Francisco                 	CA	94124	(415) 826-0540	(415) 333-4083	0	BLK	cw@atpjanitorial.com
B & C JANITORIAL SERV. INC	JANITORIAL & MISC SUPPLIES         	SERVICE ESTABLISH EQUI SUPPLY 	                                   	Cheryl A. Garcia	P O Box 5565                  	Hercules                      	CA	94547	(510) 741-8903	(510) 741-8917	0	A/P	bandcjanitorial@msn.com
C M S C	JANITORIAL & MISC SUPPLIES         	SERVICE ESTABLISH EQUI SUPPLY 	COSTLESS MAINTENANCE SERVICES CO   	Norma  Edar	3254 19th Street	San Francisco                 	CA	94110	(415) 550-8819	(415) 550-8831	0	A/P	norma@costlessmaintenance.com
CONSOLIDATED CLEANING SERVICES     	JANITORIAL & MISC SUPPLIES         	SERVICE ESTABLISH EQUI SUPPLY 	                                   	Kurt  Grannis	2515 Willow Street	Oakland                       	CA	94607	(510) 663-2585	(650) 992-4455	778783	BLK	joann@consolidated-cleaning.com
"ADRIENNE WONG ASSOCIATES,  INC."	LANDSCAPE ARCHITECTS	1	                                   	Adrienne  Wong	"333 Bryant Street, Suite 120"	San Francisco                 	CA	94107	(415) 618-0157	(415) 618-0719	LA 3288        	A/P	adrienne.wong@awala.net
"CLIFF LOWE ASSOCIATES, INC."	LANDSCAPE ARCHITECTS	2	C L A	Clifton  Lowe	1175 Folsom Street            	San Francisco                 	CA	94103	(415) 431-0394	(415) 431-0396	1935	A/P	cliff@clascape.com
STEVENS +  ASSOCIATES	LANDSCAPE ARCHITECTS	3	STEVENS & ASSOCIATES	Myles  Stevens	"855 Sansome Street, Suite 200"	San Francisco                 	CA	94111	(415) 397-6500	(415) 397-6525	C 9455         	BLK	mstevens@stevens-arch.com
TANAKA DESIGN GROUP                	LANDSCAPE ARCHITECTS	4	                                   	Robert T. Tanaka	"360 Langton Street, Ste. 200"	San Francisco                 	CA	94103	(415) 863-7800	(415) 863-7900	3199	A/P	bob@tanakadesign.com
BMB CONSTRUCTION PROPERTIES	LANDSCAPING (C-27)                 			Marie A. Roberts	945 Marina Village Parkway	Alameda	CA	94501-4634	(510) 835-4009	(510) 835-4018	897863	BLK	marie@bmbcp.com
FORSTER & KROEGER LANDSCAPE MAINT.	LANDSCAPING (C-27)                 		                                   	Raul  Garcia	15 Library Place	San Anselmo                   	CA	94960	(415) 456-6684	(415) 457-6614	748791	LAT	raul@forster-kroeger.com
RMT LANDSCAPE CONTRACTORS INC	LANDSCAPING (C-27)                 		                                   	Kari  Trask	7699 Edgewater Drive	Oakland	CA	94261	(510) 568-3208	(510) 568-3766	372869	LAT	rick@rmtlandscape.com
PARTHEX INC                        	"LIGHTING FIXTURES: RESIDENTIAL, COM"	ERICAL AND INDST WHOLESALE    	                                   	Viraj  Bharwad	1255 Post Street Ste 402      	San Francisco                 	CA	94109	(415) 567-2716	(415) 567-2243	0	A/P	
PEER LIGHT INC                     	"LIGHTING FIXTURES: RESIDENTIAL, COM"	ERICAL AND INDST WHOLESALE    	                                   	Tony K. Leong	301 Tolland  Street           	San Francisco                 	CA	94124	(415) 206-0689	(415) 206-0779	0	A/P	peerlight@yahoo.com
AU ELECTRIC CORPORATION	LOCK AND SECURITY EQUIPMENT        			Yat-Pang  Au	499 E. Taylor St.	San Jose	CA	95112	(408) 298-8888	(408) 298-8899	381840	A/P	yau@aec-alarms.com
AU ELECTRIC CORPORATION	LOW VOLTAGE SYSTEMS (C-7)          			Yat-Pang  Au	499 E. Taylor St.	San Jose	CA	95112	(408) 298-8888	(408) 298-8899	381840	A/P	yau@aec-alarms.com
MYT CONSTRUCTION INC DBA DELTA ELECTRIC	LOW VOLTAGE SYSTEMS (C-7)          			Chock C. Tang	725 E. 11th Street	Oakland	CA	94606	(510) 812-4918	(510) 594-1227	872328	A/P	lucychiang11@yahoo.com
STARLITE ELECTRIC INC              	LOW VOLTAGE SYSTEMS (C-7)          		BA ALERT SYSTEM	William  Lee	1246 Carroll Avenue	San Francisco	CA	94124	(415) 648-8888	(415) 648-8895	716595	A/P	bill@starliteinc.com
SUN ELECTRIC SYSTEMS               	LOW VOLTAGE SYSTEMS (C-7)          		                                   	U. U. Paul Lucas	608 Campbell Avenue	San Francisco                 	CA	94134	(415) 715-0275	(415) 715-0258	417061	BLK	plucassf1501@yahoo.com
